year,AverageTemperature,MovingAverage
1957,50.905550000000005,50.6601
1958,48.491299999999995,50.439712500000006
1959,51.393049999999995,50.56975
1960,49.57235,50.5602125
1961,50.0474,50.3562375
1962,48.7697,50.295075
1963,48.76895,50.151337500000004
1964,49.9304,50.06715
1965,49.33115,49.835237500000005
1966,49.5491,49.7513625
1967,48.74870000000001,49.588562499999995
1968,49.5425,49.5875125
1969,49.57055,49.4762625
1970,49.580450000000006,49.567025
1971,50.02609999999999,49.4531125
1972,49.08155,49.4122125
1973,51.72785,49.552249999999994
1974,50.1419,49.666599999999995
1975,51.00725,49.853125
1976,49.160599999999995,49.788975
1977,49.92515,49.838474999999995
1978,48.50825,49.7517375
1979,50.04409999999999,49.8596875
1980,49.74485000000001,49.87655
1981,49.9082,49.904687499999994
1982,49.595,49.9059
1983,50.916500000000006,49.9801
1984,50.4632,50.095237499999996
1985,50.4707,49.990475
1986,50.27525,50.00158750000001
1987,50.575700000000005,49.96562500000001
1988,49.87985,50.0255625
1989,49.3904,49.980999999999995
1990,52.380500000000005,50.3036875
1991,52.44305,50.503600000000006
1992,49.230799999999995,50.460762499999994
1993,50.073649999999994,50.47455
1994,49.9916,50.5076
1995,50.425549999999994,50.4666875
1996,49.652750000000005,50.39915
1997,50.006750000000004,50.3604875
1999,52.09265,50.51193750000001
2000,49.94435000000001,50.459325
2001,51.6758,50.608987500000005
2002,52.253899999999994,50.847612500000004
2003,49.7048,50.6246375
2004,50.7011,50.479475
2005,51.22655,50.645787500000004
2007,51.1292,50.73374999999999
2008,51.155,50.83070000000001
2009,50.2553,50.816512499999995
2010,52.44365,51.049087500000006
2011,52.29005,51.2393625
